image_path,relative_path,source_file,class_id,animal_id,external_dataset,protocol,split,source_url,source_commit,sha256,capture_date,camera_id,lighting,pose,operator,license_status,notes
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\331-2-5-3(1).jpg,datasets_v2/998230000006455/331-2-5-3(1).jpg,331-2-5-3(1).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,c7f375a93660e64caa1f026172df5198c839cb9955011ce9d60b5e49dbf63b6a,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\331-2-5-3(2).jpg,datasets_v2/998230000006455/331-2-5-3(2).jpg,331-2-5-3(2).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,2ae0b33d466c80969e4b8019b2733b19e5ab65bbadf6d4e8d75007fa33b6dd01,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\331-2-5-3(3).jpg,datasets_v2/998230000006455/331-2-5-3(3).jpg,331-2-5-3(3).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,ae9866d5684f022c23132b15d13e65f84a90247cb09bb7762538cc43807643c4,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\331-2-5-3(4).jpg,datasets_v2/998230000006455/331-2-5-3(4).jpg,331-2-5-3(4).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,validation,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,2d6de6d4a16e695b82d9ce5e682bae31d44754f3d0a1ac9f363d8459ebe024c0,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\331-2-5-3(5).jpg,datasets_v2/998230000006455/331-2-5-3(5).jpg,331-2-5-3(5).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,4efbdff406a29f956e563f5ae7ba636e374d0564a744cfabe018825be1f3eea2,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\401-2-10-5(1).jpg,datasets_v2/998230000006455/401-2-10-5(1).jpg,401-2-10-5(1).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,5c946749c778a207754142930eb926d136ca69107016fefb4e900d6525906d40,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\401-2-10-5(2).jpg,datasets_v2/998230000006455/401-2-10-5(2).jpg,401-2-10-5(2).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,bbd0dcfbcaee7c296286c6e5c3fdf8e2ad0cc032748764f21dcb8b133304eb63,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\401-2-10-5(3).jpg,datasets_v2/998230000006455/401-2-10-5(3).jpg,401-2-10-5(3).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,a2a20e0de33ada1733ee38031162691e6f9aeb2549b9434bb066cbffc8e00384,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\401-2-10-5(4).jpg,datasets_v2/998230000006455/401-2-10-5(4).jpg,401-2-10-5(4).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,0e3321246f89ab864ba56080a92202fac9878149f63700b598f1c1dfb5a85285,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
D:\ergasies\cattle_face_identification\data\external_public\Holstein2025\datasets_v2\998230000006455\401-2-10-5(5).jpg,datasets_v2/998230000006455/401-2-10-5(5).jpg,401-2-10-5(5).jpg,0,998230000006455,holstein2025,holstein2025_unseen_identity_reid,train,https://github.com/JZM-shuimu/Cattle-ID,b905600ca4153e8435c1a2c33306a2783de6fbdf,adf2ce9a2ee51b203a4b29d0a60aa8e3c39e4f4c2a64a504f86f1385b77b9419,unknown,fixed_side_view_surveillance,field_variable,side_view_variable,public_dataset,repository_license_not_declared,Official Holstein2025 identification image. Open-set identities are disjoint from development identities; repository has no explicit license file.
