source_file,source_path,class_id,augmentation_id,augmentation_family,sample_id,source_sha256,split,protocol,protocol_version,split_seed,augmentation_seed,image_path,image_sha256,materialization_id,dataset_commit_sha
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,original,original,000:IMG_20250414_101607.png:original,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,test,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__original.png,2c7e4b454660e3ff6d51fe8b1426468c9297ae516bae6778047bc91114d2ce4a,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,flip_horizontal,geometric,000:IMG_20250414_101607.png:flip_horizontal,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__flip_horizontal.png,aadb3502592ad27a4b648313d6dcd88f7a6b5e4182a6364bee6feb5483eac292,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,flip_vertical,geometric,000:IMG_20250414_101607.png:flip_vertical,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__flip_vertical.png,2d9beead8ead2250c26f3d96233e7a8ade7693490ad9e831e29f91e7729b8363,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,rotate_neg_15,geometric,000:IMG_20250414_101607.png:rotate_neg_15,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,test,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__rotate_neg_15.png,bcc7665eaedb026c5e63c06ef11ea058a1c55fec63b23238d18956fdceafec3f,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,rotate_pos_15,geometric,000:IMG_20250414_101607.png:rotate_pos_15,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__rotate_pos_15.png,73a15038e8e5451de49aca7087aed067ed8e863c5cbe9bc8d74cf07b456e2a54,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,brightness_up,photometric,000:IMG_20250414_101607.png:brightness_up,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__brightness_up.png,27d07b79c54f0a57a4e9d903f86784fccc288bc618a18a4cac660351a0888b91,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,brightness_down,photometric,000:IMG_20250414_101607.png:brightness_down,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,test,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__brightness_down.png,ec27fecf0f7e38aa706537cff7aa5f25d48c90a0a6bfbd65dfeeff1d6ca28fa8,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,contrast_up,photometric,000:IMG_20250414_101607.png:contrast_up,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__contrast_up.png,49fd6fbede5dae39c087de2eb2f140a866dcb29c5314e4f8875966ebfb42ed24,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,contrast_down,photometric,000:IMG_20250414_101607.png:contrast_down,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__contrast_down.png,af0bc790ef62ace21653d425acf3be48242f7e83ab5d3850d53bc4034ca3ea94,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,gaussian_noise,photometric,000:IMG_20250414_101607.png:gaussian_noise,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__gaussian_noise.png,6d3276c3a680398dc615cfd4bc97d6f3ff33c73c306b72ae1e06d5161e75d7ce,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,blur,photometric,000:IMG_20250414_101607.png:blur,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__blur.png,62b170857df47e6de671b42d8c080949fb3586bce66b4267e1d18f74433acfc1,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,sharpen,photometric,000:IMG_20250414_101607.png:sharpen,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__sharpen.png,bb7a03c46a49de42216b59f477233f120f41fc163a76d158cc32e9e81529595a,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,translate_left,geometric,000:IMG_20250414_101607.png:translate_left,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,validation,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__translate_left.png,9bbd85401bd92c29c96770b26b4391a23a66f2e65a7b5b0b18f825c93cea1b03,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,translate_right,geometric,000:IMG_20250414_101607.png:translate_right,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,train,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__translate_right.png,0d05eac4a04b89b5ff4f91bcd8670d232ec2589cc10502380d5094e153f590b4,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,zoom_in,geometric,000:IMG_20250414_101607.png:zoom_in,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,test,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__zoom_in.png,3e8edccb9c2e8b7445d24f787c93fc988b7db405b144823901665900cdb00f3f,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
IMG_20250414_101607.png,/content/cattle_runtime/raw/CattleSSFR/cattle_images/IMG_20250414_101607.png,0,zoom_out,geometric,000:IMG_20250414_101607.png:zoom_out,886425a0600ce98462c686319d3b5dc06562cf46858563d37c7efdc4c0095c96,test,paper_random_hardening_v2,hardening_v2,5,1,/content/cattle_runtime/processed/cattlessfr_099d749_hardening_v2_aug1_384/class_000/IMG_20250414_101607__zoom_out.png,6d807b999ad270f176cd29ead6d35375eed55e8f88ea27e560289dce58c5da89,cattlessfr_099d749_hardening_v2_aug1_384,099d749e9a766ff0c9b9fbc49112c6b77b29542e
